name,sex,rank,start_year,end_year,reign_length
John,M,1,1880,1923,44
Robert,M,1,1924,1939,16
James,M,1,1940,1952,13
Robert,M,1,1953,1953,1
Michael,M,1,1954,1959,6
David,M,1,1960,1960,1
Michael,M,1,1961,1998,38
Jacob,M,1,1999,2012,14
Noah,M,1,2013,2016,4
Liam,M,1,2017,2024,8
Mary,F,1,1880,1946,67
Linda,F,1,1947,1952,6
Mary,F,1,1953,1961,9
Lisa,F,1,1962,1969,8
Jennifer,F,1,1970,1984,15
Jessica,F,1,1985,1990,6
Ashley,F,1,1991,1992,2
Jessica,F,1,1993,1995,3
Emily,F,1,1996,2007,12
Emma,F,1,2008,2008,1
Isabella,F,1,2009,2010,2
Sophia,F,1,2011,2013,3
Emma,F,1,2014,2018,5
Olivia,F,1,2019,2024,6
