region,value
Valle d'Aosta,1.5876242777501728
Basilicata,1.4706535467823723
Liguria,1.3548170610449541
Trentino-Alto Adige,1.2556600291308246
Lazio,1.1770750209244494
Friuli Venezia Giulia,1.1420917760637495
Puglia,1.0811901453955373
Calabria,1.0633629595214507
Campania,1.0134282882991927
Marche,0.9864479117319406
Sicilia,0.9579414429359252
Lombardia,0.941554340301375
Sardegna,0.935849256406687
Tuscany,0.9313219879260046
Umbria,0.9147147645052888
Veneto,0.8633220807536025
Emilia-Romagna,0.8289112620249064
Piedmont,0.7782507646299459
Abruzzo,0.6911747319830469
Molise,0.6765511401340253
